,Mkt-RF,SMB,HML,RMW,CMA,RF
196307,   -0.39,   -0.45,   -0.94,    0.66,   -1.15,    0.27
196308,    5.07,   -0.82,    1.82,    0.40,   -0.40,    0.25
196309,   -1.57,   -0.48,    0.17,   -0.76,    0.24,    0.27
196310,    2.53,   -1.30,   -0.04,    2.75,   -2.24,    0.29
196311,   -0.85,   -0.85,    1.70,   -0.45,    2.22,    0.27
196312,    1.83,   -1.90,   -0.06,    0.07,   -0.30,    0.29
196401,    2.24,    0.08,    1.53,    0.22,    1.50,    0.30
196402,    1.54,    0.31,    2.86,    0.06,    0.85,    0.26
196403,    1.41,    1.40,    3.37,   -2.01,    2.93,    0.31
196404,    0.10,   -1.50,   -0.66,   -1.35,   -1.08,    0.29
196405,    1.42,   -0.70,    1.99,   -0.26,    0.24,    0.26
196406,    1.27,    0.08,    0.72,   -0.42,    0.14,    0.30
196407,    1.74,    0.52,    0.73,    0.14,    1.84,    0.30
196408,   -1.44,    0.31,    0.07,    0.06,    0.36,    0.28
196409,    2.69,   -0.32,    1.72,   -0.48,    0.58,    0.28
196410,    0.59,    0.88,    1.15,   -0.29,    0.48,    0.29
196411,    0.00,   -0.27,   -1.95,    0.60,   -0.16,    0.29
196412,    0.03,   -0.58,   -2.52,    1.13,   -1.63,    0.31
196501,    3.54,    2.49,    0.16,    0.84,    0.11,    0.28
196502,    0.44,    3.32,    0.16,    0.40,   -0.69,    0.30
196503,   -1.34,    2.04,    1.05,   -0.30,    0.73,    0.36
196504,    3.11,    1.18,    0.68,    0.26,   -2.30,    0.31
196505,   -0.77,    0.06,   -1.63,   -0.38,    0.70,    0.31
196506,   -5.51,   -4.30,    0.56,    0.12,    0.41,    0.35
196507,    1.43,    1.08,    2.18,   -1.41,   -0.02,    0.31
196508,    2.73,    2.71,   -0.96,    2.06,   -0.75,    0.33
196509,    2.86,    0.62,   -0.09,   -0.82,    0.82,    0.31
196510,    2.60,    3.42,    1.54,    1.22,   -0.76,    0.31
196511,   -0.03,    5.19,    0.21,   -1.06,   -0.90,    0.35
196512,    1.01,    2.64,    1.96,   -1.28,   -0.45,    0.33
196601,    0.72,    4.71,    3.51,   -2.83,   -0.07,    0.38
196602,   -1.21,    4.86,    0.27,   -0.15,   -1.44,    0.35
196603,   -2.51,    0.22,   -2.07,    1.30,   -0.01,    0.38
196604,    2.14,    3.36,   -0.54,    0.41,   -0.91,    0.34
196605,   -5.66,   -5.18,   -1.57,    1.66,   -1.52,    0.41
196606,   -1.44,    1.34,    0.50,    0.06,    0.80,    0.38
196607,   -1.63,   -0.50,    0.99,   -0.45,    1.77,    0.35
196608,   -7.91,   -3.02,    0.44,    0.05,    0.77,    0.41
196609,   -1.06,   -1.18,    0.49,   -1.65,    2.50,    0.40
196610,    3.86,   -6.52,    2.86,   -3.64,    4.28,    0.45
196611,    1.40,    3.37,   -4.53,    4.17,   -6.53,    0.40
196612,    0.13,    1.94,   -1.28,    0.68,   -0.13,    0.40
196701,    8.15,    8.97,    2.45,    0.62,   -2.97,    0.43
196702,    0.78,    3.02,   -2.15,    1.94,   -0.94,    0.36
196703,    3.99,    1.87,    0.46,    0.90,   -1.51,    0.39
196704,    3.89,    0.46,   -2.52,    2.43,   -3.75,    0.32
196705,   -4.33,    2.36,    0.99,   -1.75,    1.61,    0.33
196706,    2.41,    6.45,    0.95,   -0.64,   -2.39,    0.27
196707,    4.58,    3.46,    2.80,    0.51,    2.72,    0.31
196708,   -0.89,    0.76,    1.39,    0.42,    1.41,    0.31
196709,    3.11,    2.47,   -2.48,    0.22,   -0.95,    0.32
196710,   -3.09,    0.47,   -3.38,    0.81,   -2.55,    0.39
196711,    0.37,   -0.06,   -1.70,    1.29,   -2.29,    0.36
196712,    3.05,    5.76,   -0.45,   -0.64,    0.03,    0.33
196801,   -4.06,    4.47,    4.79,   -4.58,    6.45,    0.40
196802,   -3.75,   -2.92,    1.18,   -0.14,    2.49,    0.39
196803,    0.20,   -1.52,   -0.62,    1.17,   -1.15,    0.38
196804,    9.05,    6.26,   -1.14,    2.79,   -3.66,    0.43
196805,    2.28,    7.03,    0.86,    0.39,   -1.82,    0.45
196806,    0.69,   -0.27,    0.68,   -1.33,    2.68,    0.43
196807,   -2.72,   -1.33,    5.41,   -3.00,    3.61,    0.48
196808,    1.34,    2.29,    1.01,   -0.60,    0.40,    0.42
196809,    4.03,    2.77,    0.33,   -2.03,    0.92,    0.43
196810,    0.42,   -0.43,    2.85,   -1.30,    2.81,    0.44
196811,    5.43,    2.41,   -0.90,    0.46,   -2.52,    0.42
196812,   -3.94,    3.60,    0.00,   -1.78,    1.65,    0.43
196901,   -1.25,   -0.46,    1.66,   -1.54,    1.41,    0.53
196902,   -5.84,   -4.13,    0.86,    2.17,    0.80,    0.46
196903,    2.64,   -0.41,   -0.52,   -1.34,   -0.42,    0.46
196904,    1.46,   -0.82,   -0.03,    0.38,    0.06,    0.53
196905,   -0.10,   -0.18,    0.71,   -0.97,    1.49,    0.48
196906,   -7.18,   -5.49,   -1.10,    4.26,   -1.55,    0.51
196907,   -7.00,   -3.37,    1.22,    1.40,    1.97,    0.53
196908,    4.68,    0.70,   -3.83,    1.16,   -4.08,    0.50
196909,   -2.98,    1.29,   -3.27,    3.42,   -0.83,    0.62
196910,    5.06,    3.90,   -3.04,    0.01,   -2.03,    0.60
196911,   -3.79,   -2.41,   -1.15,    1.44,    0.32,    0.52
196912,   -2.63,   -3.69,   -3.00,    2.47,   -2.04,    0.64
197001,   -8.10,    3.09,    3.15,   -1.77,    3.92,    0.60
197002,    5.13,   -2.58,    4.02,   -2.28,    3.06,    0.62
197003,   -1.06,   -2.40,    4.09,   -0.87,    4.43,    0.57
197004,  -11.00,   -6.29,    6.21,   -0.64,    5.88,    0.50
197005,   -6.92,   -4.42,    3.43,   -1.30,    3.62,    0.53
197006,   -5.79,   -2.16,    0.60,    0.19,    2.90,    0.58
197007,    6.93,   -0.69,    1.01,   -0.07,    1.90,    0.52
197008,    4.49,    1.55,    1.02,    0.57,   -0.15,    0.53
197009,    4.18,    8.48,   -5.63,    0.24,   -5.93,    0.54
197010,   -2.28,   -4.50,    0.25,    1.83,    2.38,    0.46
197011,    4.60,   -4.00,    1.67,    1.75,    1.59,    0.46
197012,    5.72,    3.03,    0.86,    0.14,    0.28,    0.42
197101,    4.84,    7.54,    1.33,   -2.19,   -0.14,    0.38
197102,    1.41,    2.04,   -1.22,    0.65,   -0.72,    0.33
197103,    4.13,    2.14,   -4.06,    1.97,   -2.69,    0.30
197104,    3.15,   -0.38,    0.71,   -1.56,    0.72,    0.28
197105,   -3.98,   -1.18,   -1.48,    1.46,    0.30,    0.29
197106,   -0.10,   -1.45,   -1.82,    1.52,   -1.74,    0.37
197107,   -4.50,   -1.40,    0.17,    0.48,    1.62,    0.40
197108,    3.79,   -0.18,    2.56,   -0.34,    2.60,    0.47
197109,   -0.85,    0.20,   -2.89,    2.59,   -1.56,    0.37
197110,   -4.42,   -1.65,   -0.37,    1.48,   -1.24,    0.37
197111,   -0.46,   -2.88,   -1.73,    2.45,   -0.36,    0.37
197112,    8.71,    3.26,   -0.41,   -0.43,   -1.83,    0.37
197201,    2.49,    6.31,    1.93,   -1.48,    0.29,    0.29
197202,    2.87,    0.96,   -2.80,    1.65,   -0.52,    0.25
197203,    0.63,   -0.50,   -1.68,    1.58,   -0.19,    0.27
197204,    0.29,    0.15,    0.24,   -0.59,   -0.89,    0.29
197205,    1.25,   -3.14,   -2.73,    2.33,   -1.85,    0.30
197206,   -2.43,   -0.35,   -2.60,    1.75,   -0.36,    0.29
197207,   -0.80,   -2.74,    0.71,    1.08,   -0.59,    0.31
197208,    3.26,   -3.53,    4.64,   -2.02,    2.95,    0.29
197209,   -1.14,   -2.25,    0.51,    1.67,   -1.98,    0.34
197210,    0.52,   -2.52,    1.30,   -0.12,   -0.05,    0.40
197211,    4.60,   -0.54,    4.82,   -1.98,    3.35,    0.37
197212,    0.62,   -1.82,   -2.24,    2.60,   -2.20,    0.37
197301,   -3.29,   -2.79,    2.67,    0.40,    0.92,    0.44
197302,   -4.85,   -4.01,    1.71,   -0.34,   -0.01,    0.41
197303,   -1.30,   -2.31,    2.73,   -1.07,    0.73,    0.46
197304,   -5.68,   -2.99,    5.62,   -1.63,    2.71,    0.52
197305,   -2.94,   -5.98,    0.25,    2.02,   -1.79,    0.51
197306,   -1.56,   -2.53,    1.37,   -0.27,    0.22,    0.51
197307,    5.05,    7.28,   -5.32,   -0.10,   -3.46,    0.64
197308,   -3.82,   -1.79,    1.32,   -1.36,    1.20,    0.70
197309,    4.75,    3.58,    2.01,   -2.30,    1.82,    0.68
197310,   -0.83,   -0.32,    2.03,   -1.94,    2.59,    0.65
197311,  -12.75,   -7.24,    3.91,   -2.71,    1.50,    0.56
197312,    0.61,   -4.59,    3.90,   -2.80,    2.30,    0.64
197401,   -0.17,   10.38,    5.99,   -3.01,    4.46,    0.63
197402,   -0.47,    0.10,    2.86,   -1.93,    2.67,    0.58
197403,   -2.81,    2.67,   -0.28,    2.82,    0.36,    0.56
197404,   -5.29,   -0.63,    0.95,    2.86,    1.84,    0.75
197405,   -4.68,   -3.17,   -2.08,    5.08,   -0.01,    0.75
197406,   -2.83,   -0.01,    0.78,    0.62,    3.05,    0.60
197407,   -8.05,    1.99,    5.14,   -3.26,    4.58,    0.70
197408,   -9.35,    0.30,    2.50,   -0.26,    2.55,    0.60
197409,  -11.77,    1.46,    5.49,   -4.28,    5.91,    0.81
197410,   16.10,   -6.85,   -9.99,   -0.03,   -2.94,    0.51
197411,   -4.51,   -1.44,   -0.16,   -3.39,    2.95,    0.54
197412,   -3.45,   -4.36,    0.00,   -0.65,    3.23,    0.70
197501,   13.66,   12.79,    8.44,   -0.89,   -0.86,    0.58
197502,    5.56,   -0.65,   -4.56,    1.15,   -2.14,    0.43
197503,    2.66,    3.98,    2.49,    1.23,   -1.25,    0.41
197504,    4.23,   -0.59,   -1.11,    1.37,   -1.35,    0.44
197505,    5.19,    2.89,   -4.02,   -1.05,   -0.61,    0.44
197506,    4.83,    1.32,    1.32,   -2.62,    1.07,    0.41
197507,   -6.59,    3.42,    1.70,    0.43,    1.19,    0.48
197508,   -2.85,   -2.80,   -0.95,    1.03,   -0.89,    0.48
197509,   -4.26,    0.02,    0.34,    0.53,    0.50,    0.53
197510,    5.31,   -4.24,    0.34,   -0.46,    2.27,    0.56
197511,    2.64,   -1.07,    1.96,   -0.62,    1.71,    0.41
197512,   -1.60,   -0.03,    1.74,   -0.12,    0.60,    0.48
197601,   12.16,    6.35,    8.65,   -1.90,    2.36,    0.47
197602,    0.32,    7.97,    5.85,   -2.58,    3.84,    0.34
197603,    2.32,   -1.33,   -0.08,   -0.38,    1.09,    0.40
197604,   -1.49,    0.15,   -0.14,    0.39,   -1.10,    0.42
197605,   -1.34,   -1.12,   -1.30,    2.47,   -1.42,    0.37
197606,    4.05,   -1.13,    0.65,   -0.59,    0.93,    0.43
197607,   -1.07,    0.62,    1.69,   -1.09,    0.29,    0.47
197608,   -0.56,   -2.03,    0.81,   -0.46,   -0.59,    0.42
197609,    2.07,    0.12,   -0.24,    0.99,   -1.14,    0.44
197610,   -2.42,    0.16,   -0.15,   -0.22,   -0.32,    0.41
197611,    0.36,    2.66,    1.51,   -1.39,    0.07,    0.40
197612,    5.65,    3.60,    2.20,   -0.62,    2.23,    0.40
197701,   -4.05,    5.89,    4.25,   -0.53,    1.93,    0.36
197702,   -1.94,    1.11,    0.52,   -0.13,   -0.19,    0.35
197703,   -1.37,    1.29,    1.06,   -0.32,   -0.09,    0.38
197704,    0.15,    0.60,    3.44,   -2.05,    1.14,    0.38
197705,   -1.45,    1.28,    0.84,    0.33,    0.11,    0.37
197706,    4.71,    2.08,   -0.68,    0.88,   -1.22,    0.40
197707,   -1.69,    1.82,   -0.60,    0.83,    0.01,    0.42
197708,   -1.75,    0.89,   -2.76,    0.96,   -0.62,    0.44
197709,   -0.27,    1.56,   -0.51,    1.23,   -0.84,    0.43
197710,   -4.38,    1.50,    1.73,   -0.30,   -0.46,    0.49
197711,    4.00,    3.62,    0.29,   -0.05,    0.65,    0.50
197712,    0.27,    1.61,   -0.38,    0.94,   -0.65,    0.49
197801,   -6.01,    2.69,    3.31,   -1.67,    1.53,    0.49
197802,   -1.38,    3.67,    0.71,    0.36,    1.04,    0.46
197803,    2.85,    3.72,    1.23,   -0.60,    1.88,    0.53
197804,    7.88,   -0.31,   -3.56,    2.82,   -1.35,    0.54
197805,    1.76,    4.56,   -0.59,    0.27,    0.36,    0.51
197806,   -1.69,    1.59,    0.55,   -1.44,   -0.02,    0.54
197807,    5.11,    0.15,   -1.08,    1.58,   -0.78,    0.56
197808,    3.75,    4.93,   -0.57,    1.39,    0.42,    0.56
197809,   -1.43,   -0.29,    1.87,   -0.68,    1.80,    0.62
197810,  -11.91,  -10.05,    1.40,    0.17,    1.03,    0.68
197811,    2.71,    2.84,   -2.19,    1.09,   -1.21,    0.70
197812,    0.88,    1.08,   -2.17,    1.96,   -1.38,    0.78
197901,    4.23,    3.84,    2.29,   -2.50,    1.57,    0.77
197902,   -3.56,    0.55,    1.16,   -1.14,    1.04,    0.73
197903,    5.68,    3.16,   -0.69,    0.62,    0.28,    0.81
197904,   -0.06,    2.40,    1.00,    1.05,    0.21,    0.80
197905,   -2.21,    0.15,    1.30,   -1.39,   -0.35,    0.82
197906,    3.85,    0.99,    1.45,   -1.61,   -0.45,    0.81
197907,    0.82,    1.24,    1.75,   -0.20,    0.59,    0.77
197908,    5.53,    1.98,   -1.52,    1.58,   -1.45,    0.77
197909,   -0.82,   -0.27,   -0.87,    1.02,    0.54,    0.83
197910,   -8.10,   -3.46,   -1.81,    1.04,    0.24,    0.87
197911,    5.21,    2.44,   -3.38,    0.11,   -2.00,    0.99
197912,    1.79,    4.35,   -2.04,   -0.67,   -1.01,    0.95
198001,    5.51,    1.90,    1.72,   -1.67,    2.01,    0.80
198002,   -1.22,   -1.50,    0.66,    0.11,    3.03,    0.89
198003,  -12.90,   -6.97,   -1.02,    1.38,   -1.34,    1.21
198004,    3.97,    1.00,    1.01,   -2.09,    0.54,    1.26
198005,    5.26,    2.10,    0.38,    0.31,   -0.47,    0.81
198006,    3.06,    1.47,   -0.85,   -0.09,   -0.95,    0.61
198007,    6.49,    3.93,   -6.29,    3.94,   -2.46,    0.53
198008,    1.80,    4.26,   -2.64,    2.10,   -0.80,    0.64
198009,    2.19,    0.58,   -4.77,    2.03,   -2.81,    0.75
198010,    1.06,    2.33,   -2.77,    1.67,   -1.22,    0.95
198011,    9.59,   -3.41,   -8.36,    4.53,   -5.74,    0.96
198012,   -4.52,   -0.30,    2.73,   -1.25,    1.18,    1.31
198101,   -5.04,    3.38,    6.83,   -3.54,    4.35,    1.04
198102,    0.57,   -0.49,    1.00,    0.19,    2.25,    1.07
198103,    3.56,    3.07,    0.69,   -2.34,   -0.53,    1.21
198104,   -2.11,    4.60,    2.29,    0.82,    1.20,    1.08
198105,    0.11,    2.45,   -0.47,    0.33,   -1.60,    1.15
198106,   -2.36,   -0.96,    5.10,   -1.35,    2.68,    1.35
198107,   -1.54,   -1.97,   -0.68,    1.08,   -3.04,    1.24
198108,   -7.04,   -1.81,    4.84,   -0.25,    1.46,    1.28
198109,   -7.17,   -2.50,    5.20,   -0.02,    2.79,    1.24
198110,    4.92,    2.24,   -4.22,    3.29,   -2.76,    1.21
198111,    3.36,   -1.38,    1.89,    0.10,    0.63,    1.07
198112,   -3.65,    1.19,    0.75,    0.19,    2.41,    0.87
198201,   -3.24,   -1.18,    3.19,   -1.52,    2.08,    0.80
198202,   -5.86,    0.36,    6.10,   -3.38,    4.57,    0.92
198203,   -1.87,    0.00,    3.79,   -1.44,    2.37,    0.98
198204,    3.27,    1.15,   -2.77,    1.51,   -0.15,    1.13
198205,   -3.99,    0.56,    1.80,    0.91,   -0.09,    1.06
198206,   -3.09,   -0.51,    1.54,    0.03,    2.72,    0.96
198207,   -3.19,    0.95,    0.12,    1.03,    1.54,    1.05
198208,   11.14,   -4.29,    1.00,   -1.96,    0.18,    0.76
198209,    1.29,    2.58,    0.33,    2.12,   -0.04,    0.51
198210,   11.30,    1.92,   -3.73,    0.30,   -0.37,    0.59
198211,    4.67,    4.53,   -1.89,   -1.05,    0.32,    0.63
198212,    0.55,   -0.01,   -0.03,   -0.07,    1.03,    0.67
198301,    3.60,    3.28,   -0.81,   -1.50,   -0.46,    0.69
198302,    2.59,    2.91,    0.70,   -0.57,    1.02,    0.62
198303,    2.82,    1.41,    2.05,   -0.07,    2.81,    0.63
198304,    6.67,    0.48,    0.56,   -0.16,    1.60,    0.71
198305,    0.52,    6.22,   -1.42,   -1.85,   -1.53,    0.69
198306,    3.07,    1.15,   -3.93,    2.52,   -0.89,    0.67
198307,   -4.07,    0.98,    5.61,   -0.03,    2.84,    0.74
198308,   -0.50,   -4.34,    5.56,    0.45,    1.95,    0.76
198309,    0.91,    0.25,    1.08,    1.21,    0.59,    0.76
198310,   -3.44,   -3.82,    5.07,   -0.81,    2.97,    0.76
198311,    2.16,    1.88,   -0.64,   -0.48,    0.64,    0.70
198312,   -1.78,   -0.47,    1.68,    1.59,    1.21,    0.73
198401,   -1.92,   -0.07,    7.62,   -0.93,    3.00,    0.76
198402,   -4.82,   -1.62,    3.36,    0.82,    1.57,    0.71
198403,    0.63,   -0.28,    0.51,   -0.93,    1.09,    0.73
198404,   -0.51,   -1.02,    1.27,    3.27,    0.76,    0.81
198405,   -5.97,    0.08,    0.26,    2.32,   -0.50,    0.78
198406,    1.82,    0.07,   -2.62,    3.08,   -1.51,    0.75
198407,   -2.74,   -2.22,    0.48,    3.69,   -2.17,    0.82
198408,   10.28,   -0.30,   -1.82,   -0.89,   -0.81,    0.83
198409,   -0.80,    0.00,    5.32,    1.40,    2.53,    0.86
198410,   -0.84,   -1.43,    0.51,    1.17,   -1.16,    1.00
198411,   -1.76,   -0.98,    4.08,    0.81,    2.08,    0.73
198412,    1.84,   -0.69,   -0.20,    1.21,   -1.26,    0.64
198501,    7.99,    3.50,   -5.41,   -0.83,   -3.36,    0.65
198502,    1.22,    1.00,   -0.13,    1.26,    1.03,    0.58
198503,   -0.84,   -1.48,    4.10,    1.18,    2.94,    0.62
198504,   -0.96,   -0.10,    3.72,    1.59,    0.71,    0.72
198505,    5.09,   -2.33,   -0.92,    1.30,   -1.39,    0.66
198506,    1.27,    0.35,    0.50,    1.69,   -0.59,    0.55
198507,   -0.74,    2.89,   -1.68,   -0.45,   -0.31,    0.62
198508,   -1.02,   -0.32,    2.32,   -0.04,    1.88,    0.55
198509,   -4.54,   -1.81,    1.31,    1.16,    1.61,    0.60
198510,    4.02,   -1.55,    0.78,    0.92,   -1.11,    0.65
198511,    6.48,    0.00,   -2.88,    0.29,   -2.33,    0.61
198512,    3.88,   -0.39,   -1.52,    0.97,   -1.80,    0.65
198601,    0.65,    1.01,    0.52,   -2.02,   -2.05,    0.56
198602,    7.13,   -0.75,   -0.85,    1.15,   -1.39,    0.53
198603,    4.88,   -0.57,   -0.44,    1.12,    0.99,    0.60
198604,   -1.31,    2.92,   -2.86,    2.91,    0.02,    0.52
198605,    4.62,   -1.26,   -0.14,    2.08,    1.11,    0.49
198606,    1.03,   -0.88,    1.36,    1.83,    0.87,    0.52
198607,   -6.45,   -3.54,    4.76,   -0.57,    0.61,    0.52
198608,    6.07,   -4.37,    3.50,   -1.74,    3.24,    0.46
198609,   -8.60,    1.96,    3.16,   -0.05,    3.62,    0.45
198610,    4.66,   -2.33,   -1.37,    0.13,    0.89,    0.46
198611,    1.17,   -1.88,   -0.13,    1.12,    0.61,    0.39
198612,   -3.27,    0.07,    0.27,    0.83,   -0.03,    0.49
198701,   12.47,   -1.52,   -3.26,    0.20,   -1.09,    0.42
198702,    4.39,    3.41,   -5.97,   -0.90,   -2.76,    0.43
198703,    1.64,    0.22,    1.62,    1.36,    4.03,    0.47
198704,   -2.11,   -1.55,   -0.34,   -0.46,    1.22,    0.44
198705,    0.11,   -0.60,    0.22,    0.52,    1.32,    0.38
198706,    3.94,   -2.29,    1.01,    1.73,    0.83,    0.48
198707,    3.85,   -1.11,    0.67,   -0.50,    1.56,    0.46
198708,    3.52,   -0.90,   -0.92,    2.03,   -1.59,    0.47
198709,   -2.59,    0.37,    0.27,   -0.90,    1.89,    0.45
198710,  -23.24,   -8.08,    4.20,    2.01,    2.39,    0.60
198711,   -7.77,    2.83,    3.13,   -1.92,    0.71,    0.35
198712,    6.81,    0.09,   -4.45,    3.01,   -2.36,    0.39
198801,    4.21,   -0.54,    4.99,   -1.12,    2.09,    0.29
198802,    4.75,    3.32,   -1.62,    1.56,   -0.11,    0.46
198803,   -2.27,    6.25,    0.72,   -0.16,    1.91,    0.44
198804,    0.56,    1.12,    1.70,   -0.23,    1.90,    0.46
198805,   -0.29,   -2.59,    2.33,   -0.70,    0.38,    0.51
198806,    4.79,    2.19,   -1.09,    1.42,   -3.25,    0.49
198807,   -1.25,   -0.17,    2.20,   -0.59,    1.44,    0.51
198808,   -3.31,   -0.01,    2.12,   -0.74,    1.73,    0.59
198809,    3.30,   -1.31,   -0.68,    1.73,   -0.49,    0.62
198810,    1.15,   -2.95,    1.70,    1.40,    1.05,    0.61
198811,   -2.29,   -1.66,    1.30,   -0.28,    1.60,    0.57
198812,    1.49,    2.01,   -1.54,    0.63,   -0.37,    0.63
198901,    6.10,   -2.23,    0.49,   -1.03,    0.16,    0.55
198902,   -2.25,    2.67,    0.90,   -0.81,    1.90,    0.61
198903,    1.57,    0.77,    0.47,    0.00,    0.79,    0.67
198904,    4.33,   -0.69,   -1.42,    0.75,   -0.54,    0.67
198905,    3.35,   -0.01,   -0.90,    0.50,   -0.03,    0.79
198906,   -1.35,   -1.07,    2.27,    0.22,    1.52,    0.71
198907,    7.20,   -4.05,   -2.79,    1.97,   -0.61,    0.70
198908,    1.44,    0.43,    0.63,    0.34,   -0.50,    0.74
198909,   -0.76,    0.44,   -1.25,    1.36,    0.59,    0.65
198910,   -3.67,   -3.32,   -1.07,    0.01,    0.01,    0.68
198911,    1.03,   -1.33,   -1.07,   -0.97,    1.47,    0.69
198912,    1.16,   -2.30,    0.21,   -0.06,    1.44,    0.61
199001,   -7.85,   -1.32,    0.78,   -1.13,    1.32,    0.57
199002,    1.11,    1.19,    0.65,   -0.20,   -0.64,    0.57
199003,    1.83,    1.66,   -3.03,    2.18,   -1.03,    0.64
199004,   -3.36,   -0.39,   -2.47,    1.72,   -0.97,    0.69
199005,    8.42,   -2.39,   -3.89,    1.63,   -1.57,    0.68
199006,   -1.09,    1.37,   -1.99,   -1.05,   -0.34,    0.63
199007,   -1.90,   -3.26,   -0.11,   -0.26,    3.10,    0.68
199008,  -10.15,   -3.85,    1.63,   -0.43,    2.99,    0.66
199009,   -6.12,   -3.78,    0.71,   -0.15,    3.71,    0.60
199010,   -1.92,   -5.10,    0.19,    2.83,   -0.49,    0.68
199011,    6.35,   -0.04,   -3.21,    0.83,   -4.75,    0.57
199012,    2.46,    0.59,   -1.72,    2.84,   -2.00,    0.60
199101,    4.69,    3.86,   -1.74,    1.56,   -4.08,    0.52
199102,    7.19,    3.97,   -0.55,   -0.25,   -0.16,    0.48
199103,    2.65,    3.85,   -1.32,   -0.37,   -0.99,    0.44
199104,   -0.28,    0.32,    1.48,    0.52,    0.71,    0.53
199105,    3.65,    0.16,   -0.57,    2.10,   -2.45,    0.47
199106,   -4.94,    0.18,    1.23,    1.75,    0.63,    0.42
199107,    4.24,   -0.96,   -1.25,    1.60,   -1.41,    0.49
199108,    2.32,    1.44,   -0.83,    0.87,   -0.55,    0.46
199109,   -1.59,    1.56,   -0.98,   -1.81,    0.16,    0.46
199110,    1.29,    0.94,   -0.47,   -1.73,   -0.29,    0.42
199111,   -4.19,   -0.87,   -1.85,    1.06,    0.12,    0.39
199112,   10.84,   -2.42,   -4.11,    3.57,   -3.12,    0.38
199201,   -0.59,    9.26,    4.61,   -1.33,    3.15,    0.34
199202,    1.09,    1.35,    6.37,    0.11,    2.04,    0.28
199203,   -2.66,   -0.90,    3.61,   -0.10,    1.93,    0.34
199204,    1.07,   -5.73,    4.27,    1.69,    2.22,    0.32
